Processing window size 3...
Building nouns list from Inaugural corpus...
Word: method, Uniqueness Value: 10
Word: recognition, Uniqueness Value: 10
Word: employees, Uniqueness Value: 10
Word: activities, Uniqueness Value: 10
Word: reforms, Uniqueness Value: 10
Word: heritage, Uniqueness Value: 10
Word: t, Uniqueness Value: 10
Word: tolerance, Uniqueness Value: 10
Word: borders, Uniqueness Value: 10
Word: senator, Uniqueness Value: 10
Word: step, Uniqueness Value: 9
Word: prospect, Uniqueness Value: 9
Word: honest, Uniqueness Value: 9
Word: lessons, Uniqueness Value: 9
Word: resolution, Uniqueness Value: 9
Word: blessing, Uniqueness Value: 9
Word: punishment, Uniqueness Value: 9
Word: solemn, Uniqueness Value: 9
Word: claims, Uniqueness Value: 9
Word: length, Uniqueness Value: 9
Word: actions, Uniqueness Value: 9
Word: productions, Uniqueness Value: 9
Word: minority, Uniqueness Value: 9
Word: standard, Uniqueness Value: 9
Word: sum, Uniqueness Value: 9
Word: sword, Uniqueness Value: 9
Word: appeal, Uniqueness Value: 9
Word: expense, Uniqueness Value: 9
Word: articles, Uniqueness Value: 9
Word: rivers, Uniqueness Value: 9
Word: discretion, Uniqueness Value: 9
Word: verdict, Uniqueness Value: 9
Word: want, Uniqueness Value: 9
Word: reality, Uniqueness Value: 9
Word: element, Uniqueness Value: 9
Word: title, Uniqueness Value: 9
Word: enjoyment, Uniqueness Value: 9
Word: considerations, Uniqueness Value: 9
Word: fortifications, Uniqueness Value: 9
Word: agents, Uniqueness Value: 9
Word: facilities, Uniqueness Value: 9
Word: fidelity, Uniqueness Value: 9
Word: convention, Uniqueness Value: 9
